pl_name,hostname,discoverymethod,disc_year,pl_dens_source,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_met,sy_pnum,pl_rade_was_imputed,pl_bmasse_was_imputed,pl_dens_was_imputed,pl_orbper_was_imputed,pl_orbsmax_was_imputed,pl_orbeccen_was_imputed,st_teff_was_imputed,st_met_was_imputed,sy_pnum_was_imputed,complete_case_before_imputation,any_feature_was_imputed,imputation_method
55 Cnc d,55 Cnc,Radial Velocity,2002.0,derived_from_pl_bmasse_pl_rade,12.999999999999998,1232.4929999999993,3.0932937651342742,4798.999999999998,5.599999999999998,0.0913,5198.0,0.39,7.0,False,False,False,False,False,False,False,False,False,True,False,knn
55 Cnc e,55 Cnc,Radial Velocity,2004.0,derived_from_pl_bmasse_pl_rade,1.875,7.99,6.683588835555556,0.7365473999999999,0.015440000000000002,0.05,5172.0,0.35,7.0,False,False,False,False,False,False,False,False,False,True,False,knn
55 Cnc f,55 Cnc,Radial Velocity,2007.0,derived_from_pl_bmasse_pl_rade,7.59,44.81200000000001,0.5651136029241826,260.58,0.802,0.063,5198.0,0.39,7.0,False,False,False,False,False,False,False,False,False,True,False,knn
6 Lyn b,6 Lyn,Radial Velocity,2008.0,derived_from_pl_bmasse_pl_rade,13.400000000000002,597.8352335699998,1.3700419757022058,919.8599999999999,2.028,0.042,4941.0,-0.17,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
61 Vir b,61 Vir,Radial Velocity,2009.0,derived_from_pl_bmasse_pl_rade,2.11,5.1000000000000005,2.9935710619973683,4.215,0.050201000000000016,0.12,5577.0,-0.010000000000000002,3.0,False,False,False,False,False,False,False,False,False,True,False,knn
61 Vir c,61 Vir,Radial Velocity,2009.0,derived_from_pl_bmasse_pl_rade,4.460000000000001,18.199999999999996,1.131184833456527,38.02100000000001,0.21750000000000003,0.14,5577.0,-0.010000000000000002,3.0,False,False,False,False,False,False,False,False,False,True,False,knn
61 Vir d,61 Vir,Radial Velocity,2009.0,derived_from_pl_bmasse_pl_rade,5.109999999999999,22.9,0.9463233227810327,123.01,0.4759999999999999,0.35,5577.0,-0.010000000000000002,3.0,False,False,False,False,False,False,False,False,False,True,False,knn
7 CMa b,7 CMa,Radial Velocity,2011.0,derived_from_pl_bmasse_pl_rade,13.400000000000002,587.9855,1.347469621845107,735.0999999999998,1.7579999999999996,0.06,4826.0,0.21,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
7 CMa c,7 CMa,Radial Velocity,2019.0,derived_from_pl_bmasse_pl_rade,13.900000000000004,276.51209999999986,0.5677230163325475,996.0000000000002,2.1529999999999996,0.08,4826.0,0.21,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
70 Vir b,70 Vir,Radial Velocity,1996.0,derived_from_pl_bmasse_pl_rade,12.600000000000001,2380.4500000000007,6.561667056593361,116.68800000000005,0.4809999999999999,0.3988,5495.0,-0.08999999999999998,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
