config_id,node_id,centroid_log_mass,centroid_log_period,centroid_log_semimajor,centroid_z_mass,centroid_z_period,centroid_z_semimajor,spread_r3,n_r3_valid,r3_valid_fraction,I_R3,imputed_fraction_pl_bmasse,physically_derived_fraction_pl_bmasse,observed_fraction_pl_bmasse,imputed_fraction_pl_orbper,physically_derived_fraction_pl_orbper,observed_fraction_pl_orbper,imputed_fraction_pl_orbsmax,physically_derived_fraction_pl_orbsmax,observed_fraction_pl_orbsmax
orbital_pca2_cubes10_overlap0p35,cube13_cluster8,1.2557140889832654,1.611173028302373,-0.7179546848181074,-0.0879232663115368,0.3859830295600486,0.25680398595891385,0.7334107789080949,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75
orbital_pca2_cubes10_overlap0p35,cube13_cluster9,0.2909613139279127,0.8749172938459167,-1.2994292679642623,-1.0356351188051889,-0.4494926492384515,-0.7138622277599614,0.22825849071830676,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster0,3.142540582091891,2.714759081455296,0.18300855060080537,1.7655752437243428,1.6382915192877112,1.7607984816291875,0.37221501667741214,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster1,3.1845007981560736,2.2664270137301186,-0.11173442636501019,1.8067942949936582,1.1295409302191508,1.2687786104876715,0.18221403996766483,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster10,2.787214252562413,2.56987940727525,0.07433016875907594,1.4165252252065617,1.4738874427353703,1.579379660457961,0.057436055690433876,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster11,3.203331410137034,3.1001259739729767,0.4369712656069028,1.8252922922272408,2.075591564699744,2.1847431116196145,0.17712273115393007,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75
orbital_pca2_cubes10_overlap0p35,cube17_cluster12,1.974814092231007,1.8287085893214061,-0.4412484856600694,0.6184749051443652,0.6328343096242557,0.7187147322481688,0.7321819392041843,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster2,2.841169332971787,2.634705223247325,0.11883518008435381,1.4695272693865107,1.5474493724674627,1.6536726942151474,0.15542885180585916,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster3,3.1939629285221427,2.850183500035428,0.2801443115337429,1.8160892909031012,1.7919661227495873,1.922948993473275,0.31754585549072734,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster4,1.7775009779341568,1.971427867995089,-0.33827511299754115,0.424647033479699,0.7947868495464823,0.8906100766936468,0.47771074216138787,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster5,3.4006732581413304,2.919769161822067,0.32101664859716234,2.0191483900611558,1.8709293488340053,1.9911779372880365,0.3062657079423023,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.8571428571428571
orbital_pca2_cubes10_overlap0p35,cube17_cluster6,3.0983658804071212,2.771273417485884,0.2216267351168339,1.7221808224285602,1.702421890091356,1.825264527147549,0.169800046681355,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
