config_id,node_id,anchor_pl_name,radius_type,radius_value,N_obs,N_exp_neighbors,delta_N_neighbors,delta_rel_neighbors,N_exp_analog,delta_N_analog,delta_rel_analog,n_analog_nodes,reference_used,warning
orbital_pca2_cubes10_overlap0p35,cube19_cluster0,HD 114729 b,r_node_median,0.6676449114518498,230,231.0,1.0,0.004329004328985589,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster0,HD 114729 b,r_node_q75,0.967951578735297,444,445.0,1.0,0.002247191011230905,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster0,HD 114729 b,r_kNN,0.1176157825426781,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster10,HD 4313 b,r_node_median,0.07545873858338112,5,6.0,1.0,0.16666666663888888,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster10,HD 4313 b,r_node_q75,0.10007533638300757,11,12.0,1.0,0.08333333332638888,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster10,HD 4313 b,r_kNN,0.09672689445943915,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster4,HD 174205 b,r_node_median,0.23930502164200926,29,30.0,1.0,0.03333333333222222,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster4,HD 174205 b,r_node_q75,0.2599237717267016,32,33.0,1.0,0.03030303030211203,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster4,HD 174205 b,r_kNN,0.17000155667204994,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster6,HD 174205 b,r_node_median,0.23930502164200926,29,30.0,1.0,0.03333333333222222,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster6,HD 174205 b,r_node_q75,0.2599237717267016,32,33.0,1.0,0.03030303030211203,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster6,HD 174205 b,r_kNN,0.17000155667204994,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster0,Gl 49 b,r_node_median,0.38007810035768513,888,889.0,1.0,0.0011248593925746626,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster0,Gl 49 b,r_node_q75,0.5409176018253217,1468,1467.0,-1.0,-0.0006816632583499103,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster0,Gl 49 b,r_kNN,0.0784968859534052,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster7,HD 32963 b,r_node_median,0.3673001539326405,62,63.0,1.0,0.01587301587276392,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster7,HD 32963 b,r_node_q75,0.5533828094599157,125,126.0,1.0,0.007936507936444948,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster7,HD 32963 b,r_kNN,0.14662975497804204,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube18_cluster0,HD 11506 c,r_node_median,1.1896181266326018,548,383.0,-165.0,-0.43080939947668195,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube18_cluster0,HD 11506 c,r_node_q75,1.4663578976473493,890,698.0,-192.0,-0.2750716332374283,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube18_cluster0,HD 11506 c,r_kNN,0.19923301387020817,10,1.0,-9.0,-8.999999991,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube1_cluster1,GJ 3138 b,r_node_median,0.7270015216101038,258,259.0,1.0,0.0038610038609889537,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube1_cluster1,GJ 3138 b,r_node_q75,2.3272779322274544,3375,2932.0,-443.0,-0.1510914051841231,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube1_cluster1,GJ 3138 b,r_kNN,0.19158319438424426,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster3,HIP 38594 b,r_node_median,0.2912126923422064,211,212.0,1.0,0.004716981132053222,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster3,HIP 38594 b,r_node_q75,0.5207491956761997,552,552.0,0.0,0.0,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster3,HIP 38594 b,r_kNN,0.09003848998829668,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster3,HD 40307 f,r_node_median,0.22831734903878423,140,141.0,1.0,0.007092198581509985,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster3,HD 40307 f,r_node_q75,0.47149322466649524,493,492.0,-1.0,-0.002032520325199121,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster3,HD 40307 f,r_kNN,0.0686718866001733,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster9,HD 173416 b,r_node_median,0.567951269587535,185,186.0,1.0,0.005376344085992601,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster9,HD 173416 b,r_node_q75,0.9085173679121152,402,403.0,1.0,0.0024813895781576143,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster9,HD 173416 b,r_kNN,0.11820551580123584,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster1,GJ 536 c,r_node_median,0.31472312121924234,394,389.0,-5.0,-0.012853470436984952,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster1,GJ 536 c,r_node_q75,0.6645962401487098,1338,1322.0,-16.0,-0.012102874432668605,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube13_cluster1,GJ 536 c,r_kNN,0.08702948664279374,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster13,HD 154345 b,r_node_median,0.3481530444709749,28,29.0,1.0,0.03448275861950059,,,,0,N1,insufficient_analogs
