config_id,feature_space,lens,node_id,n_members_with_method,dominant_discoverymethod,observed_dominant_method_fraction,null_mean_fraction_for_that_method,null_std_fraction_for_that_method,enrichment_z,empirical_p_value,n_perm,seed
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube42_cluster3,4,Transit,1.0,0.735,0.22863726730347367,1.1590411446278421,0.3046953046953047,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube43_cluster0,80,Transit,0.5375,0.7282624999999996,0.04951779825224718,-3.8524027063610924,1.0,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube43_cluster1,6,Transit,1.0,0.7350000000000001,0.17606028008107874,1.5051662980313498,0.14985014985014986,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube51_cluster0,8,Transit,0.5,0.720625,0.1566133275778278,-1.4087242983223254,0.9600399600399601,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube51_cluster1,79,Transit,0.9873417721518988,0.7292658227848112,0.05093494724788507,5.066775628746792,0.000999000999000999,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube51_cluster2,7,Transit,0.8571428571428571,0.7345714285714239,0.16695569496617121,0.7341554212707078,0.4125874125874126,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube51_cluster3,6,Transit,1.0,0.7313333333333338,0.18100460399302445,1.484308469175845,0.15984015984015984,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube52_cluster0,723,Transit,0.5477178423236515,0.7297192254495155,0.01508447181837782,-12.06547934307695,1.0,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube53_cluster0,409,Transit,0.4889975550122249,0.7301271393643048,0.02076730589776856,-11.611019047877038,1.0,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube59_cluster0,4,Transit,1.0,0.72525,0.22461063532255135,1.2232279188625519,0.2817182817182817,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube60_cluster0,339,Radial Velocity,0.6224188790560472,0.19838348082595872,0.0221149433222291,19.174157132198673,0.000999000999000999,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube60_cluster1,19,Radial Velocity,0.631578947368421,0.19705263157894976,0.0916826998485685,4.739458114858905,0.000999000999000999,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube60_cluster2,3,Transit,1.0,0.7209999999999986,0.25613169355713866,1.0892833921693534,0.37362637362637363,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube61_cluster0,769,Radial Velocity,0.48634590377113135,0.19705591677503234,0.013567918272004768,21.32161921943491,0.000999000999000999,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube61_cluster1,7,Transit,1.0,0.7269999999999966,0.170777274691405,1.5985733493716603,0.11688311688311688,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube62_cluster0,794,Transit,0.5163727959697733,0.7302972292191435,0.014549803042798732,-14.702909216028864,1.0,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube62_cluster1,5,Transit,1.0,0.7258000000000006,0.20232241596026557,1.3552625827374958,0.2037962037962038,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube63_cluster0,263,Transit,0.5741444866920152,0.7304600760456259,0.026343164382949247,-5.933819759891366,1.0,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube66_cluster0,189,Radial Velocity,0.5079365079365079,0.19772486772486797,0.027898753950507213,11.119193379100723,0.000999000999000999,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube67_cluster0,438,Radial Velocity,0.6232876712328768,0.19828767123287702,0.01869687381986303,22.731072803651898,0.000999000999000999,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube67_cluster1,39,Radial Velocity,0.5641025641025641,0.19700000000000084,0.0627996354633708,5.845616163117435,0.000999000999000999,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube67_cluster2,4,Imaging,0.5,0.012,0.05459853477887479,8.937968793052969,0.001998001998001998,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube68_cluster0,271,Radial Velocity,0.5498154981549815,0.19797785977859803,0.023990035285588972,14.66599086612163,0.000999000999000999,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube68_cluster1,7,Transit,1.0,0.7269999999999966,0.170777274691405,1.5985733493716603,0.11688311688311688,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube69_cluster0,19,Transit,1.0,0.7292631578947397,0.10037690743243667,2.697202464496052,0.001998001998001998,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube69_cluster1,5,Transit,1.0,0.7258000000000006,0.20232241596026557,1.3552625827374958,0.2037962037962038,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube7_cluster0,153,Transit,0.5163398692810458,0.7294117647058816,0.034856889946083554,-6.112762663404976,1.0,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube8_cluster0,192,Transit,0.609375,0.7308906249999998,0.03168081466773161,-3.835621851093657,1.0,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube9_cluster0,4,Transit,1.0,0.7345,0.2210989597442736,1.200819761011455,0.2867132867132867,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube11_cluster0,4,Transit,1.0,0.73675,0.22138639863370105,1.1890974406045836,0.2937062937062937,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube12_cluster0,428,Transit,0.5233644859813084,0.7290934579439265,0.02035679644482385,-10.106156561531526,1.0,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube12_cluster1,12,Transit,1.0,0.7252499999999993,0.12711518726468957,2.1614254434278886,0.023976023976023976,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube12_cluster2,5,Transit,1.0,0.7282000000000007,0.19288535455030983,1.409127202185308,0.1968031968031968,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube12_cluster3,4,Transit,1.0,0.73675,0.22138639863370105,1.1890974406045836,0.2937062937062937,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube13_cluster0,1005,Transit,0.5711442786069652,0.7298656716417897,0.013089920971540901,-12.125466103264062,1.0,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube14_cluster0,483,Transit,0.5031055900621118,0.7294554865424432,0.01954917030087529,-11.578491209429838,1.0,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube15_cluster0,8,Transit,0.875,0.725,0.15612494995996007,0.9607689228305223,0.31368631368631367,1000,42
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,cube19_cluster0,1134,Transit,0.7627865961199295,0.7300123456790122,0.012074640181392142,2.714304521589364,0.005994005994005994,1000,42
