graph_a,graph_b,space_a,lens_a,space_b,lens_b,metric_zscore_l2_distance,common_metric_count,metrics_used
joint_pca2_cubes10_overlap0p35,phys_min_pca2_cubes10_overlap0p35,joint,pca2,phys_min,pca2,2.942821155747904,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,thermal_density_cubes10_overlap0p35,joint,pca2,thermal,density,7.446911370521636,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,thermal_domain_cubes10_overlap0p35,joint,pca2,thermal,domain,5.878041035622847,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,thermal_pca2_cubes10_overlap0p35,joint,pca2,thermal,pca2,6.091197550525158,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,joint_no_density_domain_cubes10_overlap0p35,joint_no_density,density,joint_no_density,domain,9.40030833959504,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,density,joint_no_density,pca2,2.9332930260201655,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,orb_thermal_density_cubes10_overlap0p35,joint_no_density,density,orb_thermal,density,0.8769099878610109,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,orb_thermal_domain_cubes10_overlap0p35,joint_no_density,density,orb_thermal,domain,4.227029975751577,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,orb_thermal_pca2_cubes10_overlap0p35,joint_no_density,density,orb_thermal,pca2,3.6054534948142765,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,orbital_density_cubes10_overlap0p35,joint_no_density,density,orbital,density,3.0360539928011514,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,orbital_domain_cubes10_overlap0p35,joint_no_density,density,orbital,domain,3.895069099556952,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,orbital_pca2_cubes10_overlap0p35,joint_no_density,density,orbital,pca2,2.4785824547345032,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,phys_density_density_cubes10_overlap0p35,joint_no_density,density,phys_density,density,4.632919669603778,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,phys_density_domain_cubes10_overlap0p35,joint_no_density,density,phys_density,domain,3.8187603620256168,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,phys_density_pca2_cubes10_overlap0p35,joint_no_density,density,phys_density,pca2,4.45505054987994,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,phys_min_density_cubes10_overlap0p35,joint_no_density,density,phys_min,density,2.6876924811966894,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,phys_min_domain_cubes10_overlap0p35,joint_no_density,density,phys_min,domain,2.7278837370149867,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,phys_min_pca2_cubes10_overlap0p35,joint_no_density,density,phys_min,pca2,3.1464789895750482,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,thermal_density_cubes10_overlap0p35,joint_no_density,density,thermal,density,4.80556327910819,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,thermal_domain_cubes10_overlap0p35,joint_no_density,density,thermal,domain,5.254309431930869,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_density_cubes10_overlap0p35,thermal_pca2_cubes10_overlap0p35,joint_no_density,density,thermal,pca2,4.893804082160925,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,domain,joint_no_density,pca2,8.294815772686492,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,orb_thermal_density_cubes10_overlap0p35,joint_no_density,domain,orb_thermal,density,9.480596397318068,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,orb_thermal_domain_cubes10_overlap0p35,joint_no_density,domain,orb_thermal,domain,6.247579989916679,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,orb_thermal_pca2_cubes10_overlap0p35,joint_no_density,domain,orb_thermal,pca2,7.2756748521760635,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,orbital_density_cubes10_overlap0p35,joint_no_density,domain,orbital,density,9.719561554731238,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,orbital_domain_cubes10_overlap0p35,joint_no_density,domain,orbital,domain,7.256195965905933,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,orbital_pca2_cubes10_overlap0p35,joint_no_density,domain,orbital,pca2,8.472433528717312,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,phys_density_density_cubes10_overlap0p35,joint_no_density,domain,phys_density,density,7.4088637848701975,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,phys_density_domain_cubes10_overlap0p35,joint_no_density,domain,phys_density,domain,8.247414564229764,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
