config_id,permutation_index,weighted_mean_purity,weighted_mean_entropy,node_method_nmi,dominant_method_assortativity
phys_min_pca2_cubes10_overlap0p35,161,0.7286056253740275,0.8159746387646828,0.0073281133971194,0.7278470759760247
phys_min_pca2_cubes10_overlap0p35,162,0.7314482345900658,0.8091561479284449,0.0061388555746223405,-0.014492753623184577
phys_min_pca2_cubes10_overlap0p35,163,0.7304009575104727,0.8121605461800167,0.006311703179385458,
phys_min_pca2_cubes10_overlap0p35,164,0.7269599042489527,0.8188791597418436,0.005550103337351239,0.9290780141843974
phys_min_pca2_cubes10_overlap0p35,165,0.7286056253740275,0.8188931677657043,0.008280537616532618,0.2620070285044909
phys_min_pca2_cubes10_overlap0p35,166,0.7295032914422501,0.8147670592724227,0.005659533643111316,
phys_min_pca2_cubes10_overlap0p35,167,0.7275583482944344,0.8217848790984112,0.006485946735507742,-0.014492753623184577
phys_min_pca2_cubes10_overlap0p35,168,0.7331687612208259,0.8119371160069189,0.006114472615761057,0.22029702970296888
phys_min_pca2_cubes10_overlap0p35,169,0.7327199281867145,0.8151691029008489,0.005272850333068263,-0.014492753623184577
phys_min_pca2_cubes10_overlap0p35,170,0.7289796529024536,0.8166379833876745,0.006734842418953966,0.15999999999999956
phys_min_pca2_cubes10_overlap0p35,171,0.728755236385398,0.8185301806397708,0.006099773691864634,0.7789473684210519
phys_min_pca2_cubes10_overlap0p35,172,0.7235936564931179,0.8249427481917415,0.007001708249312259,-0.03448275862068811
phys_min_pca2_cubes10_overlap0p35,173,0.7358617594254937,0.8077482381264429,0.006742629620963738,0.6953578336557058
phys_min_pca2_cubes10_overlap0p35,174,0.7264362657091562,0.8160258349964464,0.006642278096543939,-0.014492753623184577
phys_min_pca2_cubes10_overlap0p35,175,0.729802513464991,0.8117416174794329,0.005684002699329251,-0.004784688995218001
phys_min_pca2_cubes10_overlap0p35,176,0.7323459006582884,0.8058399632576021,0.006497850102614831,1.0
phys_min_pca2_cubes10_overlap0p35,177,0.7329443447037702,0.8140532197337924,0.0052530296930696505,-0.00961538461538405
phys_min_pca2_cubes10_overlap0p35,178,0.7356373429084381,0.8033956264180568,0.005439607988786698,1.0
phys_min_pca2_cubes10_overlap0p35,179,0.7313734290843806,0.8110453099160411,0.005701428791533603,0.7846153846153848
phys_min_pca2_cubes10_overlap0p35,180,0.729428485936565,0.8075985355342071,0.00641211667945366,0.8444444444444444
phys_min_pca2_cubes10_overlap0p35,181,0.7282315978456014,0.8192777205287328,0.006170144980068445,
phys_min_pca2_cubes10_overlap0p35,182,0.7316726511071214,0.8141369281142936,0.0056762562856754505,0.19097413318657
phys_min_pca2_cubes10_overlap0p35,183,0.7336923997606224,0.8085907372092379,0.006327895482761174,0.26108374384236466
phys_min_pca2_cubes10_overlap0p35,184,0.730475763016158,0.8106429543820297,0.005768725637465684,0.9180007809449436
phys_min_pca2_cubes10_overlap0p35,185,0.7325703171753442,0.8109664030597132,0.0068225402715187886,0.9180007809449436
phys_min_pca2_cubes10_overlap0p35,186,0.7345152603231598,0.8060771045249642,0.00545373654065667,1.0
phys_min_pca2_cubes10_overlap0p35,187,0.7339916217833633,0.8073941546487923,0.005457032215864051,0.8469387755102045
phys_min_pca2_cubes10_overlap0p35,188,0.7289796529024536,0.8161110037664867,0.005668832342395472,0.7846153846153848
phys_min_pca2_cubes10_overlap0p35,189,0.7298773189706762,0.8070778997765454,0.006287898652437971,0.8469387755102045
phys_min_pca2_cubes10_overlap0p35,190,0.7258378216636745,0.8203996267186873,0.006083190115022071,0.3137254901960769
phys_min_pca2_cubes10_overlap0p35,191,0.7326451226810293,0.8069835029853509,0.006882454441165114,
phys_min_pca2_cubes10_overlap0p35,192,0.7288300418910831,0.8188353043809519,0.0064832855352532385,0.6618357487922691
phys_min_pca2_cubes10_overlap0p35,193,0.7307749850388988,0.8191031530033178,0.00801992238678735,0.15999999999999956
phys_min_pca2_cubes10_overlap0p35,194,0.7271843207660084,0.8261897866915179,0.006252009965214839,
phys_min_pca2_cubes10_overlap0p35,195,0.7323459006582884,0.8136977330395325,0.006527570236264505,-0.004784688995218001
phys_min_pca2_cubes10_overlap0p35,196,0.7297277079593059,0.8106696940443598,0.006389171863554943,0.7872340425531915
phys_min_pca2_cubes10_overlap0p35,197,0.7301765409934171,0.8157978832983802,0.006818316237345795,0.8799771385025719
phys_min_pca2_cubes10_overlap0p35,198,0.7289796529024536,0.8129410538704246,0.005350781320387394,
phys_min_pca2_cubes10_overlap0p35,199,0.7333931777378815,0.8066958658350016,0.006715215497114166,0.36999999999999966
phys_min_pca2_cubes10_overlap0p35,200,0.733243566726511,0.8131726878820378,0.006901849921554875,0.4260054666146036
phys_min_pca2_cubes10_overlap0p35,201,0.7306253740275285,0.815124048065196,0.006459640493606132,0.8469387755102045
phys_min_pca2_cubes10_overlap0p35,202,0.7251645721125075,0.825576786978889,0.006463618050030073,0.6582190188328298
phys_min_pca2_cubes10_overlap0p35,203,0.7270347097546379,0.8236911993713245,0.006644633298969303,0.8444444444444444
phys_min_pca2_cubes10_overlap0p35,204,0.7304009575104727,0.8174654006213299,0.0071110054643365025,1.0
phys_min_pca2_cubes10_overlap0p35,205,0.7240424895272292,0.8223761231102763,0.00667906812712868,0.3137254901960769
phys_min_pca2_cubes10_overlap0p35,206,0.7363853979652902,0.8074499074756051,0.0053229858829564125,1.0
phys_min_pca2_cubes10_overlap0p35,207,0.7317474566128067,0.8103993586514753,0.005901356846407455,1.0
phys_min_pca2_cubes10_overlap0p35,208,0.7272591262716936,0.8174757498599312,0.006895856016650262,1.0
phys_min_pca2_cubes10_overlap0p35,209,0.7276331538001197,0.8194476051983035,0.006173687669300492,0.7872340425531915
phys_min_pca2_cubes10_overlap0p35,210,0.7310742070616397,0.8058424371043565,0.00595806873211633,0.9545945945945947
phys_min_pca2_cubes10_overlap0p35,211,0.7272591262716936,0.8231014156213754,0.005399717944256385,0.8646907216494844
phys_min_pca2_cubes10_overlap0p35,212,0.7331687612208259,0.8104594022294694,0.006653494333839517,
phys_min_pca2_cubes10_overlap0p35,213,0.7313734290843806,0.8150558540894627,0.006416105624475335,0.3137254901960769
phys_min_pca2_cubes10_overlap0p35,214,0.7323459006582884,0.8142759628651379,0.0068752306313383076,
phys_min_pca2_cubes10_overlap0p35,215,0.7261370436864153,0.8191228473243641,0.008015962899825868,1.0
phys_min_pca2_cubes10_overlap0p35,216,0.7339916217833633,0.8065645600354664,0.0061637138392876285,1.0
phys_min_pca2_cubes10_overlap0p35,217,0.7344404548174746,0.8071217699681396,0.006202506898264921,-0.004784688995218001
phys_min_pca2_cubes10_overlap0p35,218,0.7289048473967684,0.8178534028853391,0.006308799565575283,-0.014492753623184577
phys_min_pca2_cubes10_overlap0p35,219,0.731149012567325,0.8129599435965651,0.005993432595847891,1.0
phys_min_pca2_cubes10_overlap0p35,220,0.7283064033512866,0.8141643679301493,0.005850436334464143,
phys_min_pca2_cubes10_overlap0p35,221,0.7268850987432675,0.8253859756958297,0.007502417734988067,1.0
phys_min_pca2_cubes10_overlap0p35,222,0.7297277079593059,0.8117783733359316,0.006001830340648685,0.63944076526858
phys_min_pca2_cubes10_overlap0p35,223,0.7299521244763615,0.808984315650162,0.007115101814516409,0.7106640947919535
phys_min_pca2_cubes10_overlap0p35,224,0.7276331538001197,0.8133908190437887,0.0059575276117996645,0.4902912621359229
phys_min_pca2_cubes10_overlap0p35,225,0.733916816277678,0.8040091688332986,0.006334500242625349,1.0
phys_min_pca2_cubes10_overlap0p35,226,0.7319718731298623,0.8096533521933726,0.006008569974437281,
phys_min_pca2_cubes10_overlap0p35,227,0.7295032914422501,0.8131248375182488,0.0065386203002457234,1.0
phys_min_pca2_cubes10_overlap0p35,228,0.7278575703171754,0.8223922209905559,0.006403955486137269,0.6354166666666667
phys_min_pca2_cubes10_overlap0p35,229,0.7301765409934171,0.812634384333601,0.005739474052588365,0.3137254901960769
phys_min_pca2_cubes10_overlap0p35,230,0.7276331538001197,0.8175646782111562,0.006548555948362961,0.22029702970296888
phys_min_pca2_cubes10_overlap0p35,231,0.7333183722321963,0.8067430602724918,0.005397297903564854,1.0
phys_min_pca2_cubes10_overlap0p35,232,0.7302513464991023,0.8167079059824126,0.006906087645897525,
phys_min_pca2_cubes10_overlap0p35,233,0.728755236385398,0.815881902233548,0.004936417156137156,0.8646907216494844
phys_min_pca2_cubes10_overlap0p35,234,0.7275583482944344,0.8174659721602626,0.005579780562554775,0.22365988909426915
phys_min_pca2_cubes10_overlap0p35,235,0.7232196289646918,0.8226660515805568,0.006296985458407327,
phys_min_pca2_cubes10_overlap0p35,236,0.7238928785158588,0.8330811076339516,0.0067402007032680965,0.6684210526315786
phys_min_pca2_cubes10_overlap0p35,237,0.7327947336923998,0.8148852000557251,0.006453164914652147,0.36999999999999966
phys_min_pca2_cubes10_overlap0p35,238,0.7344404548174746,0.8103251853618291,0.006903193784361142,
phys_min_pca2_cubes10_overlap0p35,239,0.731149012567325,0.8170923307072953,0.006231075932893046,
phys_min_pca2_cubes10_overlap0p35,240,0.7286056253740275,0.8128274680082245,0.005582850733330064,
phys_min_pca2_cubes10_overlap0p35,241,0.732196289646918,0.811825561684556,0.00514403961600954,
