config_id,node_id,member_id,pl_name,hostname,row_index,cube_id,cluster_id
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-157 b,Kepler-157 b,Kepler-157,2918,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1578 b,Kepler-1578 b,Kepler-1578,2929,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1589 b,Kepler-1589 b,Kepler-1589,2943,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1604 b,Kepler-1604 b,Kepler-1604,2965,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1613 b,Kepler-1613 b,Kepler-1613,2977,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1763 b,Kepler-1763 b,Kepler-1763,3173,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1814 c,Kepler-1814 c,Kepler-1814,3240,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1825 b,Kepler-1825 b,Kepler-1825,3253,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1856 b,Kepler-1856 b,Kepler-1856,3292,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1873 b,Kepler-1873 b,Kepler-1873,3318,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1921 c,Kepler-1921 c,Kepler-1921,3383,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1932 b,Kepler-1932 b,Kepler-1932,3396,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1934 b,Kepler-1934 b,Kepler-1934,3398,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-194 b,Kepler-194 b,Kepler-194,3404,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1949 b,Kepler-1949 b,Kepler-1949,3416,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1960 b,Kepler-1960 b,Kepler-1960,3432,cube4,0
