config_id,component_id,n_nodes,n_members,mean_shadow_score,max_shadow_score,dominant_method,mean_imputation_fraction,fraction_high_confidence_shadow,interpretation_text
orbital_pca2_cubes10_overlap0p35,23,1,4,,,Imaging,0.375,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,1,33,13189,0.0919081725734684,0.5523823966161706,Transit,0.03474050724624665,0.09090909090909091,Componente con regiones candidatas a incompletitud observacional.
phys_min_pca2_cubes10_overlap0p35,0,4,20,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,2,4,16,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,4,2,10,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,5,4,24,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,7,4,30,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,11,3,17,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,12,2,10,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,13,4,24,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,3,1,4,,,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,6,1,3,,,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,8,1,7,,,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,9,1,5,,,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,10,1,5,,,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
phys_min_pca2_cubes10_overlap0p35,14,1,4,,,Imaging,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,4,35,11046,0.04408682451484379,0.18984617011849447,Radial Velocity,0.48964856099106757,0.17142857142857143,Componente con regiones candidatas a incompletitud observacional.
thermal_pca2_cubes10_overlap0p35,5,4,30,0.013514452625143995,0.020258842224475108,Radial Velocity,0.7916666666666667,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
