config_id,node_id,member_id,pl_name,hostname,row_index,cube_id,cluster_id,discoverymethod,disc_year,disc_facility,pl_rade_was_physically_derived,pl_rade_was_imputed,pl_bmasse_was_physically_derived,pl_bmasse_was_imputed,pl_dens_was_physically_derived,pl_dens_was_imputed,pl_orbper_was_physically_derived,pl_orbper_was_imputed,pl_orbsmax_was_physically_derived,pl_orbsmax_was_imputed,pl_insol_was_physically_derived,pl_insol_was_imputed,pl_eqt_was_physically_derived,pl_eqt_was_imputed,st_mass,pl_bmasse,pl_orbper,pl_orbsmax,pl_rade_was_imputed_catalog,pl_bmasse_was_imputed_catalog,pl_dens_was_imputed_catalog,pl_orbper_was_imputed_catalog,pl_orbsmax_was_imputed_catalog,pl_insol_was_imputed_catalog,pl_eqt_was_imputed_catalog,pl_rade_was_physically_derived_catalog,pl_bmasse_was_physically_derived_catalog,pl_dens_was_physically_derived_catalog,pl_orbper_was_physically_derived_catalog,pl_orbsmax_was_physically_derived_catalog,pl_insol_was_physically_derived_catalog,pl_eqt_was_physically_derived_catalog
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-76 b,Kepler-76 b,Kepler-76,4566,cube0,0,Orbital Brightness Modulation,2013.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.2,638.8382999999998,1.5449298,0.0273999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-9 d,Kepler-9 d,Kepler-9,4759,cube0,0,Transit,2010.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.07,8.41466053,1.5928509999999998,0.0272999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-908 b,Kepler-908 b,Kepler-908,4770,cube0,0,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.11,1.98,1.340597468,0.0252599999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,OGLE-TR-56 b,OGLE-TR-56 b,OGLE-TR-56,5119,cube0,0,Transit,2002.0,OGLE,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1.228,441.7700000000002,1.2119189,0.02383,False,False,False,False,False,True,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Qatar-10 b,Qatar-10 b,Qatar-10,5141,cube0,0,Transit,2019.0,Qatar,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.156,233.92288000000008,1.645321,0.0286,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,TOI-2046 b,TOI-2046 b,TOI-2046,5456,cube0,0,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),False,False,False,False,True,False,False,False,True,False,False,False,False,False,1.13,731.0053361000001,1.4971842,0.0266777678061272,False,False,False,False,False,False,False,False,False,True,False,True,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,TOI-2196 b,TOI-2196 b,TOI-2196,5501,cube0,0,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.032,26.0,1.1947267999999998,0.02234,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,TOI-2768 b,TOI-2768 b,TOI-2768,5587,cube0,0,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.63,7.41,1.50801,0.027,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,TOI-2886 b,TOI-2886 b,TOI-2886,5597,cube0,0,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.229,444.95976980000006,1.6020010499999997,0.02871,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,TOI-3071 b,TOI-3071 b,TOI-3071,5605,cube0,0,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.29,68.19999999999999,1.266938,0.0249,False,False,False,False,False,False,False,False,False,True,False,False,False,False
