config_id,node_id,anchor_pl_name,discoverymethod,disc_year,disc_facility,pl_bmasse,pl_orbper,pl_orbsmax,r3_log_mass,r3_log_period,r3_log_semimajor,r3_imputation_score,distance_to_node_centroid,anchor_representativeness,rv_proxy,rv_proxy_with_star,delta_rel_neighbors_best,delta_rel_neighbors_mean,delta_rel_analog_best,TOI,ATI,ATI_rank,deficit_class,expected_incompleteness_direction,anchor_selection_reason,interpretation_text,caution_text,positive_delta_rel_neighbors_best,one_minus_anchor_I_R3,ATI_recomputed,ATI_abs_error,dominant_ati_driver
orbital_pca2_cubes10_overlap0p35,cube19_cluster11,HD 20781 e,Radial Velocity,2019.0,La Silla Observatory,14.030000000000005,85.5073,0.3373999999999999,1.14705767102836,1.93200319325897,-0.4718549217468937,0.0,0.0639416295419466,0.9306009565017918,0.5030566066087033,0.6063245799325321,0.0909090909008264,0.0386427201043892,0.0,0.0155180492176809,0.0013128283130639,49,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla HD 20781 e en cube19_cluster11 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.001312828313063899,8.673617379884035e-19,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube13_cluster7,HD 20781 e,Radial Velocity,2019.0,La Silla Observatory,14.030000000000005,85.5073,0.3373999999999999,1.14705767102836,1.93200319325897,-0.4718549217468937,0.0,0.0639416295419466,0.9306009565017918,0.5030566066087033,0.6063245799325321,0.0909090909008264,0.0386427201043892,0.0,0.0155180492176809,0.0013128283130639,50,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla HD 20781 e en cube13_cluster7 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.001312828313063899,8.673617379884035e-19,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube11_cluster2,TOI-375 c,Radial Velocity,2026.0,Multiple Observatories,669.3466251399999,115.5,0.5240000000000001,2.8256510780077626,2.062581984228163,-0.2806687130162732,0.0,0.3337417412840571,0.9126643376515146,2.138123749931708,2.032347762722382,0.0909090909008264,0.0328592610064549,0.0,0.0144945653929068,0.0012026066293328,51,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla TOI-375 c en cube11_cluster2 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0012026066293328397,3.968179951296946e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube17_cluster7,TOI-375 c,Radial Velocity,2026.0,Multiple Observatories,669.3466251399999,115.5,0.5240000000000001,2.8256510780077626,2.062581984228163,-0.2806687130162732,0.0,0.3337417412840571,0.9126643376515146,2.138123749931708,2.032347762722382,0.0909090909008264,0.0328592610064549,0.0,0.0144945653929068,0.0012026066293328,52,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla TOI-375 c en cube17_cluster7 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0012026066293328397,3.968179951296946e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,TOI-3071 b,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),68.19999999999999,1.266938,0.0249,1.8337843746564788,0.1027553623840641,-1.6038006529042637,0.0,0.1455372613975757,0.9916698685715528,1.7995325871951242,1.7258061136622915,0.0909090909008264,0.0275127423586395,0.0,0.0122817591013342,0.0011072227666127,53,no_deficit,vecinos compatibles bajo referencia local en region fisico-orbital comparable,No preferred-method candidate dominated the filters; selected the least-imputed representative nearest to the medoid.,"Ancla TOI-3071 b en cube0_cluster0 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0011072227666127572,5.724587470723463e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube7_cluster4,Kepler-1350 c,Transit,2016.0,Kepler,3.640000000000001,1.7667890620000002,0.0222,0.5611013836490562,0.2471847019245088,-1.6536470255493614,0.0,0.507674006439683,0.9072312891552704,0.4787064830075532,0.651798023344724,0.0909090909008264,-0.0081135182563699,0.0,0.0118471092695574,0.0009770971104006,54,no_deficit,vecinos compatibles bajo referencia local en region fisico-orbital comparable,No preferred-method candidate dominated the filters; selected the least-imputed representative nearest to the medoid.,"Ancla Kepler-1350 c en cube7_cluster4 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0009770971104006193,1.929879867024198e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube2_cluster0,Kepler-1350 c,Transit,2016.0,Kepler,3.640000000000001,1.7667890620000002,0.0222,0.5611013836490562,0.2471847019245088,-1.6536470255493614,0.0,0.507674006439683,0.9072312891552704,0.4787064830075532,0.651798023344724,0.0909090909008264,-0.0081135182563699,0.0,0.0118471092695574,0.0009770971104006,55,no_deficit,vecinos compatibles bajo referencia local en region fisico-orbital comparable,No preferred-method candidate dominated the filters; selected the least-imputed representative nearest to the medoid.,"Ancla Kepler-1350 c en cube2_cluster0 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0009770971104006193,1.929879867024198e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube11_cluster4,Kepler-413 b,Transit,2014.0,Kepler,67.0,66.26199999999999,0.3552999999999999,1.8260748027008264,1.821264540146232,-0.4494047925106722,0.0,0.1469879671538271,0.9800507224648344,1.2189866226520825,1.2764440543962714,0.0909090909008264,0.0294287958961058,0.0,0.0099036057070693,0.0008823669024852,56,no_deficit,vecinos compatibles bajo referencia local en region fisico-orbital comparable,No preferred-method candidate dominated the filters; selected the least-imputed representative nearest to the medoid.,"Ancla Kepler-413 b en cube11_cluster4 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0008823669024852503,5.0306980803327406e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube17_cluster12,Kepler-413 b,Transit,2014.0,Kepler,67.0,66.26199999999999,0.3552999999999999,1.8260748027008264,1.821264540146232,-0.4494047925106722,0.0,0.1469879671538271,0.9800507224648344,1.2189866226520825,1.2764440543962714,0.0909090909008264,0.0294287958961058,0.0,0.0099036057070693,0.0008823669024852,57,no_deficit,vecinos compatibles bajo referencia local en region fisico-orbital comparable,No preferred-method candidate dominated the filters; selected the least-imputed representative nearest to the medoid.,"Ancla Kepler-413 b en cube17_cluster12 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0008823669024852503,5.0306980803327406e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube13_cluster8,GJ 3998 d,Radial Velocity,2025.0,Multiple Observatories,6.07,41.78,0.189,0.7831886910752576,1.6209684356442895,-0.7235381958267558,0.0,0.4644055515144001,0.8183381667420506,0.2428658791938277,0.4321969834372949,0.0909090909008264,0.031661792781104,0.0,0.0114968758442221,0.0008553029364333,58,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla GJ 3998 d en cube13_cluster8 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0008553029364333064,6.396792817664476e-18,bottleneck=TOI_region; strongest=anchor_low_imputation
