config_id,node_id,Astrometry,Eclipse Timing Variations,Imaging,Microlensing,Orbital Brightness Modulation,Pulsar Timing,Pulsation Timing Variations,Radial Velocity,Transit,Transit Timing Variations,Disk Kinematics
orbital_pca2_cubes10_overlap0p35,cube8_cluster2,0,0,0,0,0,0,0,1,3,0,
orbital_pca2_cubes10_overlap0p35,cube11_cluster0,0,0,0,0,0,0,0,3,1,0,
orbital_pca2_cubes10_overlap0p35,cube11_cluster1,0,0,0,0,0,0,0,16,268,0,
orbital_pca2_cubes10_overlap0p35,cube11_cluster2,0,0,0,0,0,0,0,4,1,0,
orbital_pca2_cubes10_overlap0p35,cube11_cluster3,0,0,0,0,0,1,0,5,32,0,
orbital_pca2_cubes10_overlap0p35,cube11_cluster4,0,0,0,0,0,1,0,0,3,0,
orbital_pca2_cubes10_overlap0p35,cube11_cluster5,0,0,0,0,0,0,0,0,4,0,
orbital_pca2_cubes10_overlap0p35,cube12_cluster0,0,1,1,12,0,3,0,350,2792,23,
orbital_pca2_cubes10_overlap0p35,cube12_cluster1,0,0,0,0,0,0,0,1,3,0,
orbital_pca2_cubes10_overlap0p35,cube13_cluster0,0,0,0,0,0,0,0,51,275,2,
orbital_pca2_cubes10_overlap0p35,cube13_cluster1,0,0,0,0,0,0,0,14,38,2,
orbital_pca2_cubes10_overlap0p35,cube13_cluster2,0,0,0,0,0,0,0,3,3,0,
orbital_pca2_cubes10_overlap0p35,cube13_cluster3,0,0,0,0,0,0,0,20,40,0,
orbital_pca2_cubes10_overlap0p35,cube13_cluster4,0,0,0,0,0,0,0,3,3,0,
orbital_pca2_cubes10_overlap0p35,cube13_cluster5,0,0,0,0,0,0,0,3,16,0,
orbital_pca2_cubes10_overlap0p35,cube13_cluster6,0,0,0,0,0,0,0,6,13,0,
orbital_pca2_cubes10_overlap0p35,cube13_cluster7,0,0,0,0,0,0,0,2,1,0,
orbital_pca2_cubes10_overlap0p35,cube13_cluster8,0,1,0,0,0,0,0,2,1,0,
orbital_pca2_cubes10_overlap0p35,cube13_cluster9,0,0,0,0,0,0,0,1,3,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster0,0,0,0,0,0,0,0,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster1,0,0,0,0,0,0,0,4,0,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster2,0,0,0,0,0,0,0,8,0,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster3,0,0,0,0,0,0,0,5,0,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster4,0,0,0,0,0,0,0,3,1,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster5,0,0,0,0,0,0,1,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster6,0,0,0,0,0,0,0,5,0,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster7,0,0,0,0,0,0,0,4,1,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster8,0,0,0,0,0,0,0,4,0,1,
orbital_pca2_cubes10_overlap0p35,cube17_cluster9,0,0,0,0,0,0,0,7,1,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster10,0,0,0,0,0,0,0,5,0,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster11,0,0,0,0,0,0,0,4,0,0,
orbital_pca2_cubes10_overlap0p35,cube17_cluster12,0,0,0,0,0,1,0,0,3,0,
orbital_pca2_cubes10_overlap0p35,cube18_cluster0,1,2,2,170,0,2,1,475,423,9,
orbital_pca2_cubes10_overlap0p35,cube18_cluster1,0,0,0,0,0,0,0,5,0,0,
orbital_pca2_cubes10_overlap0p35,cube18_cluster2,0,0,0,0,0,0,0,4,0,1,
orbital_pca2_cubes10_overlap0p35,cube18_cluster3,0,0,0,0,0,0,0,4,0,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster0,0,0,0,1,0,0,0,9,0,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster1,0,0,0,0,0,0,0,3,3,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster2,0,0,0,0,0,0,0,9,18,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster3,0,0,0,0,0,0,0,14,20,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster4,0,0,0,0,0,0,0,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster5,0,0,0,0,0,0,0,10,0,1,
orbital_pca2_cubes10_overlap0p35,cube19_cluster6,0,0,0,0,0,0,0,2,2,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster7,0,0,0,0,0,0,0,6,3,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster8,0,0,0,0,0,0,0,9,1,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster9,0,0,0,0,0,0,0,3,16,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster10,0,0,0,0,0,0,0,6,13,0,
orbital_pca2_cubes10_overlap0p35,cube19_cluster11,0,0,0,0,0,0,0,2,1,0,
orbital_pca2_cubes10_overlap0p35,cube24_cluster0,0,0,0,0,0,0,0,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube24_cluster1,0,0,0,0,0,0,0,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube24_cluster2,0,0,0,0,0,0,0,5,0,0,
orbital_pca2_cubes10_overlap0p35,cube24_cluster3,0,0,0,0,0,0,1,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube24_cluster4,0,0,0,0,0,0,0,5,0,0,
orbital_pca2_cubes10_overlap0p35,cube24_cluster5,0,0,0,0,0,0,0,4,0,1,
orbital_pca2_cubes10_overlap0p35,cube24_cluster6,0,0,0,0,0,0,0,4,0,0,
orbital_pca2_cubes10_overlap0p35,cube25_cluster0,1,3,2,187,0,0,1,319,10,4,
